project name, # of total classes created, # of inside classes mocked
commons-beanutils,118,0,
commons-bsf,64,0,
commons-chain,101,0,
commons-cli,23,0,
commons-codec,73,0,
commons-collections,351,0,
commons-compress,359,0,
commons-configuration,261,0,
commons-crypto,48,0,
commons-csv,11,0,
commons-daemon,16,0,
commons-dbcp,69,0,
commons-dbutils,50,0,
commons-digester,208,0,
commons-email,23,0,
commons-exec,31,0,
commons-fileupload,51,0,
commons-functor,193,0,
commons-geometry,277,0,
httpcomponents-client,453,0,
