Project Name,Mocking Framework,Used in # of Files
abdera,easymock,5
accumulo,easymock,110
accumulo,powermock,4
ace,easymock,6
ace,mockito,10
activemq,mockito,10
activemq,jmock,8
activemq,easymock,1
airavata,mockit,3
ambari,easymock,392
ambari,mockito,52
ambari,powermock,47
ambari,springframework,1
bookkeeper,mockito,150
bookkeeper,powermock,65
bookkeeper,jmock,1
brooklyn,mockwebserver,11
brooklyn,mockito,19
bval,mockito,1
calcite,mockito,1
camel,mockito,341
camel,wiremock,17
camel,gax,3
camel,fabric8,3
camel,mockwebserver,5
camel,mock_javamail,74
camel,opentracing,4
camel,springframework,1
camel,smock,2
camel,mockftpserver,1
wicket,mockito,22
wink,jmock,27
wink,springframework,154
xmlbeans,scomp,2
xmlgraphics-commons,mockito,6
zeppelin,mockito,60
zeppelin,mockwebserver,1
zeppelin,mockrunner,2
zeppelin,powermock,3
zeppelin,fabric8,2
zookeeper,mockito,37
zookeeper,mockit,3
