name,contributors,versions
any23.txt,27,23
apex-core.txt,64,21
archiva.txt,43,65
aries.txt,59,482
avro.txt,271,83
axis-axis2-java-core.txt,84,44
beam.txt,966,124
bigtop.txt,181,32
bookkeeper.txt,223,37
brooklyn.txt,33,13
bval.txt,15,12
calcite.txt,361,65
camel.txt,1065,179
carbondata.txt,262,34
cassandra.txt,456,266
cayenne.txt,70,45
chainsaw.txt,9,35
chemistry-opencmis.txt,16,37
chukwa.txt,20,25
clerezza.txt,26,20
click.txt,13,54
cloudstack.txt,631,145
cocoon.txt,73,75
commons-bcel.txt,36,25
ws-axiom.txt,33,66
